ID	Document
D1	pertinent resultat algorithme indexation moteur precision collection index recherche
D2	index pertinent systeme utilisateur information document rappel web collection indexation
D3	indexation index classement requete pertinent
D4	classement rappel systeme moteur terme texte resultat web index requete collection
D5	pertinent systeme recherche moteur precision indexation requete
D6	inverse information terme web recherche
D7	classement utilisateur algorithme systeme document texte index pertinent rappel precision requete
D8	inverse requete pertinent algorithme systeme terme web
D9	index classement pertinent precision indexation rappel web utilisateur terme collection document
D10	pertinent moteur texte information requete systeme document index
D11	systeme index document information texte
D12	precision utilisateur inverse rappel terme index systeme recherche requete resultat texte
D13	pertinent requete collection algorithme rappel classement index systeme indexation
D14	indexation information recherche algorithme terme
D15	utilisateur classement requete pertinent web document moteur inverse
D16	terme utilisateur pertinent rappel recherche systeme requete texte document indexation
D17	collection algorithme precision systeme inverse terme moteur pertinent utilisateur index
D18	pertinent moteur systeme information index rappel
D19	pertinent document rappel terme utilisateur collection inverse texte systeme requete algorithme recherche
D20	index web rappel requete collection resultat indexation
D21	pertinent web document classement algorithme requete resultat texte recherche rappel utilisateur moteur
D22	utilisateur information algorithme index texte inverse terme
D23	indexation resultat precision texte rappel index
D24	index indexation recherche algorithme systeme utilisateur collection rappel requete
D25	precision systeme requete utilisateur inverse moteur collection resultat rappel information document pertinent
D26	rappel inverse utilisateur information moteur
D27	moteur requete information inverse index algorithme rappel recherche terme
D28	systeme collection terme document requete algorithme precision index utilisateur moteur
D29	information recherche collection inverse requete document moteur algorithme classement terme
D30	texte requete rappel index resultat pertinent
D31	requete index texte moteur resultat pertinent collection web algorithme indexation
D32	classement document systeme indexation resultat algorithme web
D33	index algorithme classement indexation utilisateur recherche moteur
D34	indexation texte index document moteur information rappel
D35	resultat texte pertinent precision moteur collection algorithme web
D36	systeme pertinent texte rappel recherche
D37	recherche information moteur inverse document rappel
D38	systeme recherche algorithme pertinent terme web collection
D39	index moteur classement resultat indexation algorithme
D40	classement moteur inverse information requete terme systeme precision recherche collection
D41	rappel utilisateur pertinent precision web document
D42	inverse recherche systeme web texte
D43	collection utilisateur inverse texte pertinent rappel document
D44	inverse pertinent utilisateur collection document rappel
D45	pertinent collection document information moteur rappel index requete indexation utilisateur
D46	web moteur utilisateur rappel collection resultat information
D47	classement collection requete document recherche web precision texte terme
D48	terme moteur texte resultat classement web information
D49	algorithme web requete moteur document indexation
D50	indexation texte collection terme classement index inverse
D51	systeme terme moteur inverse texte index requete precision web collection classement
D52	texte document web precision inverse collection information pertinent
D53	recherche index systeme collection classement document information rappel indexation precision
D54	utilisateur resultat moteur web inverse pertinent precision
D55	information moteur pertinent algorithme texte collection recherche resultat
D56	collection information pertinent document classement web utilisateur precision recherche texte indexation
D57	document inverse systeme recherche web rappel texte
D58	classement moteur precision utilisateur systeme index collection
D59	resultat recherche utilisateur pertinent moteur algorithme terme systeme rappel document
D60	recherche texte web resultat requete precision utilisateur
D61	inverse web indexation requete document precision index classement collection
D62	texte information inverse systeme indexation web collection requete
D63	resultat classement terme texte precision document
D64	collection web index requete pertinent
D65	document collection terme recherche inverse moteur
D66	rappel pertinent document index recherche texte moteur
D67	rappel index information inverse requete systeme utilisateur web
D68	algorithme classement information rappel terme
D69	utilisateur recherche collection systeme texte requete
D70	terme texte collection moteur pertinent indexation index rappel
D71	precision moteur recherche texte classement utilisateur
D72	utilisateur indexation moteur resultat document
D73	inverse index moteur indexation terme systeme
D74	terme utilisateur collection web information resultat rappel
D75	inverse index document moteur classement information texte recherche rappel precision requete
D76	classement pertinent resultat terme indexation rappel
D77	indexation document requete collection precision information resultat algorithme classement
D78	requete classement systeme resultat moteur information utilisateur inverse recherche indexation algorithme index
D79	systeme moteur resultat collection terme indexation information classement index requete inverse
D80	information systeme inverse recherche moteur web algorithme classement index
D81	algorithme texte document inverse systeme web precision
D82	collection resultat algorithme rappel pertinent information
D83	pertinent texte web index algorithme indexation information
D84	terme classement index algorithme pertinent moteur inverse recherche requete document
D85	moteur index terme information texte recherche classement indexation algorithme inverse pertinent resultat
D86	recherche web requete rappel indexation information document resultat
D87	texte document utilisateur resultat web requete pertinent terme moteur
D88	information document web terme utilisateur algorithme pertinent
D89	web classement algorithme indexation systeme precision collection utilisateur index recherche
D90	document algorithme moteur terme precision recherche systeme inverse
D91	classement terme pertinent web requete systeme collection
D92	resultat moteur systeme pertinent information
D93	index web rappel indexation texte pertinent precision resultat
D94	algorithme recherche collection rappel systeme moteur resultat requete
D95	classement resultat web rappel collection indexation
D96	precision terme pertinent indexation resultat index systeme document requete utilisateur texte
D97	texte utilisateur web algorithme pertinent information systeme resultat rappel terme recherche
D98	pertinent classement rappel systeme resultat requete utilisateur texte recherche terme moteur
D99	index inverse resultat texte pertinent classement web algorithme information indexation precision
D100	texte recherche collection inverse utilisateur moteur terme resultat systeme index pertinent
D101	web information recherche rappel moteur
D102	precision terme algorithme indexation web pertinent requete index resultat utilisateur
D103	information algorithme web moteur texte collection document index indexation requete rappel
D104	inverse pertinent moteur precision algorithme terme utilisateur texte index resultat rappel
D105	terme index document rappel recherche algorithme classement
D106	recherche rappel document texte systeme collection resultat
D107	resultat collection indexation inverse precision moteur pertinent
D108	texte requete information algorithme document resultat classement terme
D109	algorithme pertinent systeme resultat rappel
D110	moteur utilisateur requete indexation document information
D111	collection index texte pertinent classement rappel recherche algorithme information inverse systeme precision
D112	texte terme resultat indexation precision moteur recherche document algorithme utilisateur collection
D113	pertinent terme collection classement recherche
D114	precision requete pertinent index recherche algorithme classement
D115	index collection pertinent systeme recherche indexation document
D116	document moteur requete rappel classement pertinent information indexation
D117	resultat classement web precision texte systeme pertinent moteur document
D118	requete texte pertinent utilisateur indexation algorithme rappel collection
D119	web resultat systeme requete terme utilisateur information algorithme index collection pertinent indexation
D120	document resultat indexation information requete utilisateur index moteur algorithme terme
D121	texte recherche pertinent indexation terme index systeme document precision rappel
D122	index collection algorithme moteur terme information
D123	terme recherche systeme index resultat
D124	inverse rappel document texte utilisateur classement pertinent requete web information
D125	systeme document web rappel terme precision indexation pertinent texte
D126	classement systeme information requete web
D127	pertinent resultat indexation terme texte systeme
D128	utilisateur recherche algorithme resultat systeme
D129	texte information rappel precision algorithme indexation terme
D130	document classement pertinent web utilisateur
D131	terme collection texte document systeme inverse utilisateur recherche index
D132	resultat classement pertinent collection rappel recherche algorithme systeme texte
D133	pertinent terme web inverse indexation information systeme
D134	rappel recherche information requete systeme classement algorithme moteur resultat texte
D135	systeme texte requete indexation moteur utilisateur inverse information document precision
D136	algorithme web resultat pertinent inverse utilisateur classement
D137	requete terme classement inverse document moteur texte resultat collection information indexation systeme
D138	index document algorithme classement information pertinent recherche terme
D139	resultat texte index classement pertinent indexation precision utilisateur
D140	utilisateur resultat moteur precision pertinent algorithme document classement indexation index
D141	systeme precision index texte rappel information moteur classement document terme web resultat
D142	resultat pertinent algorithme inverse recherche systeme precision
D143	requete recherche classement precision resultat indexation moteur
D144	rappel document collection web index algorithme
D145	precision web systeme terme information inverse moteur indexation classement recherche index
D146	index utilisateur systeme texte indexation algorithme moteur requete resultat inverse precision
D147	pertinent information inverse systeme rappel algorithme recherche web utilisateur moteur precision
D148	rappel pertinent requete inverse texte index
D149	pertinent inverse requete classement index document texte systeme indexation terme moteur
D150	recherche pertinent indexation precision classement collection moteur resultat algorithme
D151	terme document indexation rappel systeme resultat inverse
D152	recherche classement web terme systeme document moteur
D153	indexation recherche collection classement algorithme inverse
D154	classement pertinent information recherche utilisateur web algorithme requete
D155	moteur pertinent algorithme utilisateur terme inverse resultat
